#SampleID	DNAPlate	Tube	AnimalID	Sex	Diet	Year	DMI_total_kg	days_fed	ADFI	gain_total	ADG	FE	perANS	perHHS	perARS	perSHS	perBMS	perBRS	perBNS	perSGS	perBVS	perCHS	perCAS	perGVS	perLMS	perMAS	perSAS	perSMS	perHH	perAN	perSM	perCH	perM2	perM3	perRS	perRO	Selected	Group
S568	2	184	81365	Heifer	Growing	2008	688.2	84	8.19	60.4	0.72	0.088	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0.5	0	No	NA
S569	2	185	81515	Heifer	Growing	2008	694.6	84	8.27	84.1	1	0.121	0	0	0	0	0	0	0	0	0	0.125	0.5	0.125	0	0	0	0	0.125	0.125	0	0	0	0	0	0	No	NA
S571	2	187	81271	Heifer	Growing	2008	705.4	84	8.4	60.7	0.72	0.086	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0.5	0	No	NA
S673	8	1	81531	Heifer	Growing	2008	397	84	4.73	16.1	0.19	0.041	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0.5	0	0	Yes	BWGL-DMIL
S674	8	9	81476	Heifer	Growing	2008	567	84	6.75	64.5	0.77	0.114	0.125	0	0	0	0	0	0	0.5	0	0	0	0	0.125	0	0	0	0	0.125	0	0	0	0.125	0	0	No	NA
S675	8	17	81384	Heifer	Growing	2008	422.6	84	5.03	27.9	0.33	0.066	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	No	NA
S676	8	25	81323	Heifer	Growing	2008	590.3	84	7.03	44.6	0.53	0.076	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	No	NA
S677	8	33	81286	Heifer	Growing	2008	691.3	84	8.23	79.8	0.95	0.115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0.5	0	No	NA
S678	8	41	81231	Heifer	Growing	2008	728.6	84	8.67	58.2	0.69	0.08	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	No	NA
S679	8	2	81542	Heifer	Growing	2008	524.6	84	6.25	62.6	0.75	0.119	0	0	0	0	0	0.5	0	0	0	0	0	0.125	0.125	0	0	0	0	0.25	0	0	0	0	0	0	No	NA
S680	8	10	81473	Heifer	Growing	2008	617.9	84	7.36	33.8	0.4	0.055	0	0	0	0	0	0	0	0	0	0	0	0.75	0	0	0	0	0	0.25	0	0	0	0	0	0	Yes	BWGL-DMIH
S681	8	18	81375	Heifer	Growing	2008	515.4	84	6.14	44.8	0.53	0.087	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	No	NA
S682	8	26	81322	Heifer	Growing	2008	553.5	84	6.59	43.2	0.51	0.078	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	No	NA
S683	8	34	81293	Heifer	Growing	2008	580.8	84	6.91	45.9	0.55	0.079	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0.5	0	0	0	No	NA
S684	8	42	81234	Heifer	Growing	2008	546.7	84	6.51	70.7	0.84	0.129	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0.5	0	0	0	0	0	0	No	NA
S685	8	3	81513	Heifer	Growing	2008	535.9	84	6.38	36.2	0.43	0.068	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0.5	0	0	No	NA
S686	8	11	81463	Heifer	Growing	2008	539.3	84	6.42	52.1	0.62	0.097	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	No	NA
